city,date,station,trips
Mountain View,06/12/2013,27,1
Mountain View,06/12/2013,28,5
Mountain View,06/12/2013,30,1
Mountain View,07/12/2013,28,1
Mountain View,07/12/2013,30,1
Mountain View,07/12/2013,33,2
Mountain View,08/12/2013,27,3
Mountain View,08/12/2013,28,1
Mountain View,08/12/2013,30,2
Mountain View,08/12/2013,33,2
Mountain View,09/12/2013,27,7
Mountain View,09/12/2013,28,10
Mountain View,09/12/2013,29,3
Mountain View,09/12/2013,30,3
Mountain View,09/12/2013,33,2
Mountain View,10/12/2013,27,6
Mountain View,10/12/2013,28,9
Mountain View,10/12/2013,29,3
Mountain View,10/12/2013,30,2
Mountain View,10/12/2013,33,2
Mountain View,11/12/2013,27,5
Mountain View,11/12/2013,28,11
Mountain View,11/12/2013,29,2
Mountain View,11/12/2013,30,2
Mountain View,11/12/2013,33,1
Mountain View,12/12/2013,27,9
Mountain View,12/12/2013,28,11
Mountain View,12/12/2013,30,1
Mountain View,13/12/2013,27,4
Mountain View,13/12/2013,28,9
Mountain View,13/12/2013,29,1
Mountain View,13/12/2013,33,1
Mountain View,14/12/2013,28,1
Mountain View,14/12/2013,33,2
Mountain View,15/12/2013,27,2
Mountain View,15/12/2013,28,1
Mountain View,15/12/2013,29,1
Mountain View,15/12/2013,33,1
Mountain View,16/12/2013,27,7
Mountain View,16/12/2013,28,11
Mountain View,16/12/2013,29,1
Mountain View,16/12/2013,30,2
Mountain View,17/12/2013,27,3
Mountain View,17/12/2013,28,6
Mountain View,17/12/2013,29,1
Mountain View,17/12/2013,30,3
Mountain View,18/12/2013,27,7
Mountain View,18/12/2013,28,7
Mountain View,18/12/2013,29,1
Mountain View,18/12/2013,30,1
Mountain View,18/12/2013,33,1
Mountain View,19/12/2013,27,6
Mountain View,19/12/2013,28,12
Mountain View,19/12/2013,29,1
Mountain View,19/12/2013,30,3
Mountain View,20/12/2013,27,5
Mountain View,20/12/2013,28,5
Mountain View,20/12/2013,29,2
Mountain View,20/12/2013,30,1
Mountain View,20/12/2013,33,1
Mountain View,21/12/2013,29,2
Mountain View,22/12/2013,27,1
Mountain View,23/12/2013,27,3
Mountain View,23/12/2013,28,5
Mountain View,23/12/2013,29,1
Mountain View,23/12/2013,30,4
Mountain View,23/12/2013,33,1
Mountain View,24/12/2013,29,1
Mountain View,25/12/2013,27,4
Mountain View,25/12/2013,28,5
Mountain View,25/12/2013,30,2
Mountain View,25/12/2013,33,4
Mountain View,26/12/2013,27,1
Mountain View,26/12/2013,28,5
Mountain View,26/12/2013,30,4
Mountain View,27/12/2013,28,5
Mountain View,27/12/2013,30,3
Mountain View,28/12/2013,27,3
Mountain View,28/12/2013,28,4
Mountain View,28/12/2013,29,2
Mountain View,28/12/2013,33,4
Mountain View,29/12/2013,27,1
Mountain View,30/12/2013,27,3
Mountain View,30/12/2013,28,7
Mountain View,30/12/2013,29,1
Mountain View,30/12/2013,30,2
Mountain View,31/12/2013,28,3
Mountain View,31/12/2013,29,1
Mountain View,31/12/2013,30,1
Mountain View,31/12/2013,33,1
Mountain View,01/01/2014,28,1
Mountain View,01/01/2014,29,1
Mountain View,01/01/2014,33,2
Mountain View,02/01/2014,27,10
Mountain View,02/01/2014,28,8
Mountain View,02/01/2014,30,2
Mountain View,02/01/2014,32,1
Mountain View,03/01/2014,27,7
Mountain View,03/01/2014,28,8
Mountain View,03/01/2014,29,2
Mountain View,03/01/2014,31,2
Mountain View,03/01/2014,33,1
Mountain View,04/01/2014,29,1
Mountain View,04/01/2014,31,1
Mountain View,04/01/2014,33,2
Mountain View,05/01/2014,27,2
Mountain View,05/01/2014,28,5
Mountain View,05/01/2014,29,2
Mountain View,05/01/2014,32,5
Mountain View,05/01/2014,33,2
Mountain View,06/01/2014,27,5
Mountain View,06/01/2014,28,8
Mountain View,06/01/2014,29,2
Mountain View,06/01/2014,30,1
Mountain View,06/01/2014,32,1
Mountain View,06/01/2014,33,1
Mountain View,07/01/2014,27,10
Mountain View,07/01/2014,28,17
Mountain View,07/01/2014,29,2
Mountain View,07/01/2014,30,1
Mountain View,07/01/2014,32,2
Mountain View,07/01/2014,33,4
Mountain View,08/01/2014,27,5
Mountain View,08/01/2014,28,8
Mountain View,08/01/2014,30,1
Mountain View,08/01/2014,31,1
Mountain View,08/01/2014,32,2
Mountain View,08/01/2014,33,1
Mountain View,09/01/2014,27,4
Mountain View,09/01/2014,28,11
Mountain View,09/01/2014,29,1
Mountain View,09/01/2014,31,1
Mountain View,09/01/2014,32,4
Mountain View,10/01/2014,27,5
Mountain View,10/01/2014,28,10
Mountain View,10/01/2014,30,2
Mountain View,10/01/2014,31,1
Mountain View,10/01/2014,32,2
Mountain View,11/01/2014,28,3
Mountain View,11/01/2014,31,1
Mountain View,11/01/2014,32,2
Mountain View,12/01/2014,31,1
Mountain View,12/01/2014,32,1
Mountain View,13/01/2014,27,10
Mountain View,13/01/2014,28,8
Mountain View,13/01/2014,30,3
Mountain View,13/01/2014,31,1
Mountain View,13/01/2014,32,4
Mountain View,14/01/2014,27,7
Mountain View,14/01/2014,28,11
Mountain View,14/01/2014,29,3
Mountain View,14/01/2014,30,2
Mountain View,14/01/2014,31,2
Mountain View,14/01/2014,32,1
Mountain View,14/01/2014,33,1
Mountain View,15/01/2014,27,4
Mountain View,15/01/2014,28,9
Mountain View,15/01/2014,29,1
Mountain View,15/01/2014,31,3
Mountain View,15/01/2014,32,5
Mountain View,15/01/2014,33,2
Mountain View,16/01/2014,27,7
Mountain View,16/01/2014,28,14
Mountain View,16/01/2014,29,4
Mountain View,16/01/2014,30,1
Mountain View,16/01/2014,31,2
Mountain View,16/01/2014,32,2
Mountain View,16/01/2014,33,2
Mountain View,17/01/2014,27,5
Mountain View,17/01/2014,28,7
Mountain View,17/01/2014,32,2
Mountain View,18/01/2014,28,2
Mountain View,18/01/2014,29,2
Mountain View,19/01/2014,28,4
Mountain View,19/01/2014,29,3
Mountain View,19/01/2014,30,3
Mountain View,19/01/2014,31,1
Mountain View,20/01/2014,27,2
Mountain View,20/01/2014,28,4
Mountain View,20/01/2014,29,1
Mountain View,20/01/2014,31,1
Mountain View,20/01/2014,32,1
Mountain View,21/01/2014,27,4
Mountain View,21/01/2014,28,6
Mountain View,21/01/2014,29,3
Mountain View,21/01/2014,30,1
Mountain View,21/01/2014,31,4
Mountain View,21/01/2014,32,2
Mountain View,22/01/2014,27,4
Mountain View,22/01/2014,28,10
Mountain View,22/01/2014,29,1
Mountain View,22/01/2014,30,1
Mountain View,22/01/2014,31,3
Mountain View,22/01/2014,32,2
Mountain View,23/01/2014,27,4
Mountain View,23/01/2014,28,8
Mountain View,23/01/2014,30,1
Mountain View,23/01/2014,31,2
Mountain View,23/01/2014,32,2
Mountain View,24/01/2014,27,4
Mountain View,24/01/2014,28,11
Mountain View,24/01/2014,29,1
Mountain View,24/01/2014,31,3
Mountain View,24/01/2014,32,5
Mountain View,24/01/2014,33,2
Mountain View,25/01/2014,28,5
Mountain View,25/01/2014,29,1
Mountain View,25/01/2014,30,2
Mountain View,25/01/2014,32,4
Mountain View,26/01/2014,28,3
Mountain View,26/01/2014,30,2
Mountain View,26/01/2014,31,1
Mountain View,26/01/2014,32,1
Mountain View,26/01/2014,33,1
Mountain View,27/01/2014,27,4
Mountain View,27/01/2014,28,10
Mountain View,27/01/2014,29,1
Mountain View,27/01/2014,30,1
Mountain View,27/01/2014,31,2
Mountain View,27/01/2014,32,2
Mountain View,28/01/2014,27,4
Mountain View,28/01/2014,28,10
Mountain View,28/01/2014,29,1
Mountain View,28/01/2014,30,2
Mountain View,28/01/2014,31,2
Mountain View,28/01/2014,32,2
Mountain View,29/01/2014,27,4
Mountain View,29/01/2014,28,8
Mountain View,29/01/2014,29,3
Mountain View,29/01/2014,30,3
Mountain View,29/01/2014,31,2
Mountain View,29/01/2014,32,1
Mountain View,30/01/2014,27,3
Mountain View,30/01/2014,28,9
Mountain View,30/01/2014,29,3
Mountain View,30/01/2014,30,2
Mountain View,30/01/2014,31,4
Mountain View,30/01/2014,32,1
Mountain View,31/01/2014,27,4
Mountain View,31/01/2014,28,9
Mountain View,31/01/2014,29,2
Mountain View,31/01/2014,30,1
Mountain View,31/01/2014,31,2
Mountain View,31/01/2014,32,2
Mountain View,01/02/2014,27,1
Mountain View,01/02/2014,28,3
Mountain View,01/02/2014,29,1
Mountain View,01/02/2014,30,5
Mountain View,01/02/2014,31,2
Mountain View,01/02/2014,32,5
Mountain View,02/02/2014,27,1
Mountain View,02/02/2014,28,7
Mountain View,02/02/2014,32,1
Mountain View,02/02/2014,33,1
Mountain View,03/02/2014,27,6
Mountain View,03/02/2014,28,9
Mountain View,03/02/2014,29,2
Mountain View,03/02/2014,30,1
Mountain View,03/02/2014,31,6
Mountain View,03/02/2014,32,3
Mountain View,04/02/2014,27,2
Mountain View,04/02/2014,28,8
Mountain View,04/02/2014,29,3
Mountain View,04/02/2014,30,1
Mountain View,04/02/2014,31,5
Mountain View,04/02/2014,32,4
Mountain View,04/02/2014,33,2
Mountain View,05/02/2014,27,3
Mountain View,05/02/2014,28,7
Mountain View,05/02/2014,29,2
Mountain View,05/02/2014,31,5
Mountain View,05/02/2014,32,4
Mountain View,05/02/2014,33,1
Mountain View,06/02/2014,27,4
Mountain View,06/02/2014,28,8
Mountain View,06/02/2014,29,2
Mountain View,06/02/2014,30,2
Mountain View,06/02/2014,31,2
Mountain View,06/02/2014,32,2
Mountain View,06/02/2014,33,2
