id;point;convert_point;name;oldName;isActive;station;institute;trackNo;usableLength;trackSurface;frameType;frontLength;lighting;plkId;isEsriStation
789;0xE6100000010C98E0D67559864A40C0F3C52A1A533240;POINT (18.324618028000032 53.049605112000052);Przyłubie;Przyłubie;tak;" ";Bydgoszcz;" ";" ";" ";" ";" ";" ";19828;1
790;0xE6100000010CB8B93864A2834A40107B2B03E8043240;POINT (18.019165228000077 53.028393295000058);Brzoza Bydgoska;Brzoza Bydgoska;tak;" ";Bydgoszcz;" ";" ";" ";" ";" ";" ";18572;1
791;0xE6100000010C803984DB6E804A40F0BE13E8500C3240;POINT (18.048109536000027 53.003383102000043);Chmielniki Bydgoskie;Chmielniki Bydgoskie;tak;" ";Bydgoszcz;" ";" ";" ";" ";" ";" ";19075;1
792;0xE6100000010C78D499C756B24A40500F23C12A293340;POINT (19.160808631000066 53.393273306000026);Jabłonowo Pomorskie;Jabłonowo Pomorskie;tak;" ";Bydgoszcz;" ";" ";" ";" ";" ";" ";20909;1
793;0xE6100000010C80BBBB54C0AC4A40C0D670C1343A3340;POINT (19.227367487000038 53.349619476000044);Konojady;Konojady;tak;" ";Bydgoszcz;" ";" ";" ";" ";" ";" ";21055;1
794;0xE6100000010CD83D458A98B14A4080730C5609B93240;POINT (18.722798708000028 53.38746765500008);Wałdowo Szlacheckie;Wałdowo Szlacheckie;tak;" ";Bydgoszcz;" ";" ";" ";" ";" ";" ";20644;1
795;0xE6100000010C589F6EB7DCAC4A4090EA06A791B13240;POINT (18.693628730000057 53.350485734000074);Gorzuchowo Chełmińskie;Gorzuchowo Chełmińskie;tak;" ";Bydgoszcz;" ";" ";" ";" ";" ";" ";20651;1
796;0xE6100000010CF8D139447EAF4A40D0CE314642453240;POINT (18.270542514000056 53.371040848000064);Parlin;Parlin;tak;" ";Bydgoszcz;" ";" ";" ";" ";" ";" ";17079;1
797;0xE6100000010C5836272741AE4A40B016589AF0163240;POINT (18.089608809000026 53.361363310000058);Serock;Serock;tak;" ";Bydgoszcz;" ";" ";" ";" ";" ";" ";16543;1
798;0xE6100000010C88A0A40CD1AA4A40C0E7790A15333240;POINT (18.199539809000044 53.334504681000055);Pruszcz Pomorski;Pruszcz Pomorski;tak;Pruszcz Pomorski;Bydgoszcz;4;227;P-3772;boczna;198;nie ma;17087;1
