sv_kod;kod;plk;stacja;opiskod1;pelna;dzielnica;szerokosc;dlugosc;miasto;ulica;kod_p;gmina;kraj;wojewodztwo;nrposesjiwpis;promien;jednorazowy;kod_pracy;uwagi;blok
SVB00000260;S8 WROCŁAW PSIE POLE (WĘZEŁ);NULL;NULL;S8 WROCŁAW PSIE POLE (WĘZEŁ);S8, 51-378 BISKUPICE, POLSKA;Biskupice Widawskie;51.17533090;17.08554268;gmina Wisznia Mała;S8;51-378;gmina Wisznia Mała;NULL;województwo dolnośląskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000210;CHOJNICE, UL. BAŁUCKIEGO 12;NULL;NULL;CHOJNICE, UL. BAŁUCKIEGO 12;MICHAŁA BAŁUCKIEGO 14, 89-600 CHOJNICE, POLSKA;Zamieście;53.69831353;17.53485560;Chojnice;Michała Bałuckiego;89-600;Chojnice;NULL;województwo pomorskie;NULL;1000.000;NULL;NULL;NULL;N
SVB00000261;A8 WROCŁAW PÓŁNOC (WĘZEŁ);NULL;NULL;A8 WROCŁAW PÓŁNOC (WĘZEŁ);WROCŁAW PÓŁNOC, AUTOSTRADOWA OBWODNICA WROCŁAWIA, 51-180 WROCŁAW, POLSKA;Pracze Widawskie;51.16780016;17.02059031;Wrocław;Autostradowa Obwodnica Wrocławia;51-180;Wrocław;NULL;województwo dolnośląskie;NULL;1000.000;NULL;NULL;NULL;NULL
SVB00000262;A8 WROCŁAW STADION (WĘZEŁ);NULL;NULL;A8 WROCŁAW STADION (WĘZEŁ);WROCŁAW STADION, AUTOSTRADOWA OBWODNICA WROCŁAWIA, 54-517 WROCŁAW, POLSKA;NULL;51.13455469;16.93538189;Wrocław;Autostradowa Obwodnica Wrocławia;54-517;Wrocław;NULL;województwo dolnośląskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000263;A8 WROCŁAW LOTNISKO (WĘZEŁ);NULL;NULL;A8 WROCŁAW LOTNISKO (WĘZEŁ);WROCŁAW LOTNISKO, AUTOSTRADOWA OBWODNICA WROCŁAWIA, 54-516 WROCŁAW, POLSKA;NULL;51.10711252;16.93396032;Wrocław;Autostradowa Obwodnica Wrocławia;54-516;Wrocław;NULL;województwo dolnośląskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000264;A8 WROCŁAW ZACHÓD (WĘZEŁ);NULL;NULL;A8 WROCŁAW ZACHÓD (WĘZEŁ);WROCŁAW ZACHÓD, AUTOSTRADOWA OBWODNICA WROCŁAWIA, 52-327 CESARZOWICE, POLSKA;NULL;51.06572653;16.92885876;gmina Kąty WrocławskieCesarzowice;Autostradowa Obwodnica Wrocławia;52-327;gmina Kąty Wrocławskie;NULL;województwo dolnośląskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000265;S8 KOBIERZYCE (WĘZEŁ);NULL;NULL;S8 KOBIERZYCE (WĘZEŁ);KOBIERZYCE, S8, 52-327 BIELANY WROCŁAWSKIE, POLSKA;NULL;51.03214441;16.93863273;gmina KobierzyceBielany Wrocławskie;S8;52-327;gmina Kobierzyce;NULL;województwo dolnośląskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000266;S8 PIOTRKÓW TRYBUNALSKI PÓŁNOC (WĘZEŁ);NULL;NULL;S8 PIOTRKÓW TRYBUNALSKI PÓŁNOC (WĘZEŁ);PIOTRKÓW TRYBUNALSKI PÓŁNOC, TRYBUNALSKA, 97-300 PIOTRKÓW TRYBUNALSKI, POLSKA;Pawłówka;51.44213844;19.67325211;Piotrków Trybunalski;Trybunalska;97-300;Piotrków Trybunalski;NULL;województwo łódzkie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000267;S8 PIOTRKÓW TRYBUNALSKI WSCHÓD (WĘZEŁ);NULL;NULL;S8 PIOTRKÓW TRYBUNALSKI WSCHÓD (WĘZEŁ);PIOTRKÓW TRYBUNALSKI WSCHÓD, S8, 97-300 PIOTRKÓW TRYBUNALSKI, POLSKA;Raków;51.44362634;19.71963286;Piotrków Trybunalski;S8;97-300;Piotrków Trybunalski;NULL;województwo łódzkie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000268;S8 POLICHNO (WĘZEŁ);NULL;NULL;S8 POLICHNO (WĘZEŁ);POLICHNO, S8, 97-320 WOLBÓRZ, POLSKA;Lemiesz;51.47213464;19.79959488;gmina Wolbórz;S8;97-320;gmina Wolbórz;NULL;województwo łódzkie;NULL;1500.000;NULL;NULL;NULL;NULL
SVB00000269;S8 WOLBÓRZ (WĘZEŁ);NULL;NULL;S8 WOLBÓRZ (WĘZEŁ);WOLBÓRZ, S8, 97-320 WOLBÓRZ, POLSKA;Lemiesz-Zwierzyniec;51.49293389;19.83316541;gmina Wolbórz;S8;97-320;gmina Wolbórz;NULL;województwo łódzkie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000270;S8 STUDZIANKI (WĘZEŁ);NULL;NULL;S8 STUDZIANKI (WĘZEŁ);STUDZIANKI, S8, 97-320 STUDZIANKI-OSADA MŁYŃSKA, POLSKA;NULL;51.51079911;19.89769936;gmina Wolbórz;S8;97-320;gmina Wolbórz;NULL;województwo łódzkie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000297;S8 WARSZAWA ZACHÓD (WĘZEŁ);NULL;NULL;S8 WARSZAWA ZACHÓD (WĘZEŁ);WARSZAWA ZACHÓD, TRASA POWĄZKI-KONOTOPA, 01-330 MORY, POLSKA;NULL;52.21410524;20.86135268;gmina Ożarów MazowieckiMory;Trasa Powązki-Konotopa;01-330;gmina Ożarów Mazowiecki;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000298;S7 WARSZAWA ZACHÓD (WĘZEŁ);NULL;NULL;S7 WARSZAWA ZACHÓD (WĘZEŁ);WARSZAWA ZACHÓD, TRASA POWĄZKI-KONOTOPA, 01-330 MORY, POLSKA;NULL;52.21443721;20.86171746;gmina Ożarów MazowieckiMory;Trasa Powązki-Konotopa;01-330;gmina Ożarów Mazowiecki;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000300;S8 BEMOWO (WĘZEŁ);NULL;NULL;S8 BEMOWO (WĘZEŁ);BEMOWO, TRASA POWĄZKI-KONOTOPA, 01-479 BLIZNE ŁASZCZYŃSKIEGO, POLSKA;NULL;52.23762954;20.88649035;gmina Stare BabiceBlizne Łaszczyńskiego;Trasa Powązki-Konotopa;01-479;gmina Stare Babice;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000301;S8 WARSZAWA LAZUROWA (WĘZEŁ);NULL;NULL;S8 WARSZAWA LAZUROWA (WĘZEŁ);WARSZAWA LAZUROWA, S8 WĘZEŁ BEMOWO, 01-479 BLIZNE ŁASZCZYŃSKIEGO, POLSKA;Nowe Górce;52.24235984;20.89179039;gmina Stare BabiceBlizne Łaszczyńskiego;S8 Węzeł Bemowo;01-479;gmina Stare Babice;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000302;S7 WARSZAWA LAZUROWA (WĘZEŁ);NULL;NULL;S7 WARSZAWA LAZUROWA (WĘZEŁ);WARSZAWA LAZUROWA, S8 WĘZEŁ BEMOWO, 01-479 BLIZNE ŁASZCZYŃSKIEGO, POLSKA;Nowe Górce;52.24264890;20.89239120;gmina Stare BabiceBlizne Łaszczyńskiego;S8 Węzeł Bemowo;01-479;gmina Stare Babice;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000303;S8 WARSZAWA PRYMASA TYSIĄCLECIA (WĘZEŁ);NULL;NULL;S8 WARSZAWA PRYMASA TYSIĄCLECIA (WĘZEŁ);WARSZAWA PRYMASA TYSIĄCLECIA, S8 WĘZEŁ PRYMASA TYSIĄCLECIA, 01-438 WARSZAWA, POLSKA;Koło;52.25415711;20.94583154;Warszawa;S8 Węzeł Prymasa Tysiąclecia;01-438;Warszawa;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000304;S7 WARSZAWA PRYMASA TYSIĄCLECIA (WĘZEŁ);NULL;NULL;S7 WARSZAWA PRYMASA TYSIĄCLECIA (WĘZEŁ);WARSZAWA PRYMASA TYSIĄCLECIA, S8 WĘZEŁ PRYMASA TYSIĄCLECIA, 01-438 WARSZAWA, POLSKA;Koło;52.25434101;20.94620705;Warszawa;S8 Węzeł Prymasa Tysiąclecia;01-438;Warszawa;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000305;S7 WARSZAWA BRONIEWSKIEGO/MARYMONCKA (WĘZEŁ);NULL;NULL;S7 WARSZAWA BRONIEWSKIEGO/MARYMONCKA (WĘZEŁ);"BRONIEWSKIEGO;MARYMONCKA, ALEJA ARMII KRAJOWEJ, 01-740 WARSZAWA, POLSKA";NULL;52.26432284;20.95582008;Warszawa;Aleja Armii Krajowej;01-740;Warszawa;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000306;S8 WARSZAWA BRONIEWSKIEGO/MARYMONCKA (WĘZEŁ);NULL;NULL;S8 WARSZAWA BRONIEWSKIEGO/MARYMONCKA (WĘZEŁ);"BRONIEWSKIEGO;MARYMONCKA, ALEJA ARMII KRAJOWEJ, 01-740 WARSZAWA, POLSKA";NULL;52.26405691;20.95542848;Warszawa;Aleja Armii Krajowej;01-740;Warszawa;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000307;S8 WARSZAWA WISŁOSTRADA/MODLIŃSKA/MARYWILSKA (WĘZEŁ);NULL;NULL;S8 WARSZAWA WISŁOSTRADA/MODLIŃSKA/MARYWILSKA (WĘZEŁ);S8, 01-651 WARSZAWA, POLSKA;Potok;52.28124086;20.98215938;S8 WARSZAWA WISŁOSTRADA/MODLIŃSKA/MARYWILSKA;S8;01-651;Warszawa;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000308;S7 WARSZAWA WISŁOSTRADA/MODLIŃSKA/MARYWILSKA (WĘZEŁ);NULL;NULL;S7 WARSZAWA WISŁOSTRADA/MODLIŃSKA/MARYWILSKA (WĘZEŁ);S8, 01-651 WARSZAWA, POLSKA;Potok;52.28125399;20.98225057;Warszawa;S8;01-651;Warszawa;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000309;S8 WARSZAWA MODLIŃSKA (WĘZEŁ);NULL;NULL;S8 WARSZAWA MODLIŃSKA (WĘZEŁ);MODLIŃSKA, TORUŃSKA, 03-216 WARSZAWA, POLSKA;Pelcowizna;52.28841446;20.99796295;Warszawa;Toruńska;03-216;Warszawa;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000310;S8 WARSZAWA MARYWILSKA (WĘZEŁ);NULL;NULL;S8 WARSZAWA MARYWILSKA (WĘZEŁ);TORUŃSKA, 03-388 WARSZAWA, POLSKA;Pelcowizna;52.29306060;21.01103067;Warszawa;Toruńska;03-388;Warszawa;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000311;S8 WARSZAWA ŁABISZYŃSKA (WĘZEŁ);NULL;NULL;S8 WARSZAWA ŁABISZYŃSKA (WĘZEŁ);TORUŃSKA, 03-279 WARSZAWA, POLSKA;Bródno-Podgrodzie;52.30116722;21.03793323;Warszawa;Toruńska;03-279;Warszawa;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000312;S8 WARSZAWA GŁĘBOCKA (WĘZEŁ);NULL;NULL;S8 WARSZAWA GŁĘBOCKA (WĘZEŁ);GŁĘBOCKA, TORUŃSKA, 03-279 WARSZAWA, POLSKA;Bródno-Podgrodzie;52.30349624;21.04812026;Warszawa;Toruńska;03-279;Warszawa;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000313;S8 MARKI (WĘZEŁ);NULL;NULL;S8 MARKI (WĘZEŁ);MARKI, TORUŃSKA, 03-213 WARSZAWA, POLSKA;Bródno-Podgrodzie;52.30718634;21.06644511;Warszawa;Toruńska;03-213;Warszawa;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000316;S8 WOŁOMIN (WĘZEŁ);NULL;NULL;S8 WOŁOMIN (WĘZEŁ);WOŁOMIN, S8, 05-250 CIEMNE, POLSKA;NULL;52.36995947;21.18952632;gmina RadzyminCiemne;S8;05-250;gmina Radzymin;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000317;S8 RADZYMIN PÓŁNOC (WĘZEŁ);NULL;NULL;S8 RADZYMIN PÓŁNOC (WĘZEŁ);RADZYMIN PÓŁNOC, KARDYNAŁA STEFANA WYSZYŃSKIEGO, ZWIERZYNIEC, POLSKA;NULL;52.43492637;21.23086452;gmina RadzyminZwierzyniec;Kardynała Stefana Wyszyńskiego;NULL;gmina Radzymin;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000211;CZECHOWICE DZIEDZICE UL.LEGIONÓW 87(DOM);NULL;NULL;CZECHOWICE DZIEDZICE UL.LEGIONÓW 87(DOM);LEGIONÓW 87, 43-500 CZECHOWICE-DZIEDZICE, POLSKA;Centrum;49.91001687;18.99752855;gmina Czechowice-Dziedzice;Legionów;43-500;gmina Czechowice-Dziedzice;NULL;województwo śląskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000234;STOCZEK ŁUKOWSKI STACJA;40238;STOCZEK ŁUKOWSKI;STOCZEK ŁUKOWSKI STACJA;DWORZEC PKP STOCZEK ŁUKOWSKI, DWORCOWA, 21-450 STOCZEK ŁUKOWSKI, POLSKA;Wilcza Wola;51.95570486;21.95783973;Stoczek Łukowski;Dworcowa;21-450;Stoczek Łukowski;NULL;województwo lubelskie;NULL;1000.000;NULL;NULL;NULL;N
SVB00000235;GRALEWO STACJA;NULL;NULL;GRALEWO STACJA;538, 13-214 TUCZKI, POLSKA;NULL;53.32004346;20.03546834;gmina RybnoTuczki;538;13-214;gmina Rybno;NULL;województwo warmińsko-mazurski;NULL;1000.000;NULL;NULL;NULL;N
SVB00000315;S8 KOBYŁKA (WĘZEŁ);NULL;NULL;S8 KOBYŁKA (WĘZEŁ);KOBYŁKA, 60, 05-261 NADMA, POLSKA;NULL;52.35118800;21.16271496;KobyłkaNadma;NULL;05-261;Kobyłka;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000318;S8 WOLA RASZTOWSKA (WĘZEŁ);NULL;NULL;S8 WOLA RASZTOWSKA (WĘZEŁ);WOLA RASZTOWSKA, KARDYNAŁA STEFANA WYSZYŃSKIEGO, 05-252 EMILIANÓW, POLSKA;NULL;52.44713012;21.26102328;gmina RadzyminEmilianów;Kardynała Stefana Wyszyńskiego;05-252;gmina Radzymin;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000319;S8 TROJANY (WĘZEŁ);NULL;NULL;S8 TROJANY (WĘZEŁ);TROJANY, S8, 05-252 TROJANY, POLSKA;NULL;52.47134448;21.32587910;gmina DąbrówkaTrojany;S8;05-252;gmina Dąbrówka;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000320;S8 NIEGÓW (WĘZEŁ);NULL;NULL;S8 NIEGÓW (WĘZEŁ);NIEGÓW, WARSZAWSKA, 07-230 NIEGÓW, POLSKA;NULL;52.50843774;21.39128208;gmina ZabrodzieNiegów;Warszawska;07-230;gmina Zabrodzie;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000321;S8 MOSTÓWKA (WĘZEŁ);NULL;NULL;S8 MOSTÓWKA (WĘZEŁ);MOSTÓWKA, S8, 07-230 GMINA WYSZKÓW, POLSKA;NULL;52.53178298;21.42589331;gmina Wyszków;S8;07-230;gmina Wyszków;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000322;S8 LUCYNÓW (WĘZEŁ);NULL;NULL;S8 LUCYNÓW (WĘZEŁ);LUCYNÓW, S8, 07-201 WÓLKA ŚLUBOWSKA, POLSKA;NULL;52.55735646;21.46292388;gmina Wyszków;S8;07-201;gmina Wyszków;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000323;S8 WYSZKÓW POŁUDNIE (WĘZEŁ);NULL;NULL;S8 WYSZKÓW POŁUDNIE (WĘZEŁ);WYSZKÓW POŁUDNIE, S8, 07-201 KÓŁKO, POLSKA;NULL;52.58674151;21.49893522;gmina Wyszków;S8;07-201;gmina Wyszków;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000325;S8 TRZCIANKA (WĘZEŁ);NULL;NULL;S8 TRZCIANKA (WĘZEŁ);S8, 07-221 TRZCIANKA, POLSKA;NULL;52.64778295;21.55329823;gmina BrańszczykTrzcianka;S8;07-221;gmina Brańszczyk;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000326;S8 KNUROWIEC (WĘZEŁ);NULL;NULL;S8 KNUROWIEC (WĘZEŁ);KNUROWIEC, S8, 07-308 TRZCIANKA, POLSKA;NULL;52.66718295;21.59496903;gmina BrańszczykTrzcianka;S8;07-308;gmina Brańszczyk;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000327;S8 NAGOSZEWO (WĘZEŁ);NULL;NULL;S8 NAGOSZEWO (WĘZEŁ);NAGOSZEWO, S8, 07-308 GMINA BROK, POLSKA;NULL;52.75550301;21.79226160;gmina Brok;S8;07-308;gmina Brok;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000328;S8 DYBKI (WĘZEŁ);NULL;NULL;S8 DYBKI (WĘZEŁ);S8, 07-308 KSIĘŻY KĄT, POLSKA;NULL;52.72070787;21.70881271;gmina Brańszczyk;S8;07-308;gmina Brańszczyk;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000329;S8 RÓŻAN (WĘZEŁ);NULL;NULL;S8 RÓŻAN (WĘZEŁ);OSTRÓW MAZOWIECKA POŁUDNIE, S8, 07-300 OSTRÓW MAZOWIECKA, POLSKA;Bąkówka;52.79607035;21.86836123;Ostrów Mazowiecka;S8;07-300;Ostrów Mazowiecka;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000330;S8 ŁOMŻA (WĘZEŁ);NULL;NULL;S8 ŁOMŻA (WĘZEŁ);OSTRÓW MAZOWIECKA PÓŁNOC, S8, 07-300 OSTRÓW MAZOWIECKA, POLSKA;Osiedle Widnichowska;52.81745674;21.88476563;Ostrów Mazowiecka;S8;07-300;Ostrów Mazowiecka;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000331;S8 PODBORZE (WĘZEŁ);NULL;NULL;S8 PODBORZE (WĘZEŁ);PODBORZE, S8, 07-300 PODBORZE, POLSKA;NULL;52.82609262;21.93555593;gmina Ostrów MazowieckaPodborze;S8;07-300;gmina Ostrów Mazowiecka;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000332;S8 PROSIENICA (WĘZEŁ);NULL;NULL;S8 PROSIENICA (WĘZEŁ);S8, 07-304 PROSIENICA, POLSKA;NULL;52.86813884;22.01699853;gmina Ostrów MazowieckaProsienica;S8;07-304;gmina Ostrów Mazowiecka;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000333;S8 SZUMOWO (WĘZEŁ);NULL;NULL;S8 SZUMOWO (WĘZEŁ);SZUMOWO, S8, 18-305 SZUMOWO, POLSKA;NULL;52.91125721;22.10058689;gmina SzumowoSzumowo;S8;18-305;gmina Szumowo;NULL;województwo podlaskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000334;S8 ZAMBRÓW ZACHÓD (WĘZEŁ);NULL;NULL;S8 ZAMBRÓW ZACHÓD (WĘZEŁ);ZAMBRÓW ZACHÓD, S8, 18-300 SĘDZIWUJE, POLSKA;NULL;52.97415202;22.20954895;gmina ZambrówSędziwuje;S8;18-300;gmina Zambrów;NULL;województwo podlaskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000335;S8 ZAMBRÓW WSCHÓD (WĘZEŁ);NULL;NULL;S8 ZAMBRÓW WSCHÓD (WĘZEŁ);ZAMBRÓW WSCHÓD, S8, WIŚNIEWO, POLSKA;NULL;53.00662391;22.28765488;gmina ZambrówWiśniewo;S8;NULL;gmina Zambrów;NULL;województwo podlaskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000336;S8 KOŁAKI (WĘZEŁ);NULL;NULL;S8 KOŁAKI (WĘZEŁ);KOŁAKI, S8, 18-315 GOSIE MAŁE, POLSKA;NULL;53.03579741;22.34972656;gmina Kołaki KościelneGosie Małe;S8;18-315;gmina Kołaki Kościelne;NULL;województwo podlaskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000337;S8 MĘŻENIN (WĘZEŁ);NULL;NULL;S8 MĘŻENIN (WĘZEŁ);MĘŻENIN, S8, 18-312 STARE ZALESIE, POLSKA;NULL;53.09173039;22.49431372;gmina RutkiStare Zalesie;S8;18-312;gmina Rutki;NULL;województwo podlaskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000338;S8 SIKORY (WĘZEŁ);NULL;NULL;S8 SIKORY (WĘZEŁ);S8, 16-075 SIKORY-BARTYCZKI, POLSKA;NULL;53.11639375;22.61723399;gmina Kobylin-BorzymySikory-Bartyczki;S8;16-075;gmina Kobylin-Borzymy;NULL;województwo podlaskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000339;S8 JEŻEWO (WĘZEŁ);NULL;NULL;S8 JEŻEWO (WĘZEŁ);JEŻEWO, S8, JEŻEWO STARE, POLSKA;NULL;53.13634468;22.74912357;gmina TykocinJeżewo Stare;S8;NULL;gmina Tykocin;NULL;województwo podlaskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000340;S8 RZĘDZIANY (WĘZEŁ);NULL;NULL;S8 RZĘDZIANY (WĘZEŁ);RZĘDZIANY, S8, POLSKA;NULL;53.15530203;22.86578894;gmina TykocinRzędziany;S8;NULL;gmina Tykocin;NULL;województwo podlaskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000341;S8 TYKOCIN (WĘZEŁ);NULL;NULL;S8 TYKOCIN (WĘZEŁ);S8, 16-070 ZŁOTORIA, POLSKA;NULL;53.16408290;22.94646978;gmina ChoroszczZłotoria;S8;16-070;gmina Choroszcz;NULL;województwo podlaskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000342;S8 CHOROSZCZ (WĘZEŁ);NULL;NULL;S8 CHOROSZCZ (WĘZEŁ);CHOROSZCZ, S8, 16-070 CHOROSZCZ, POLSKA;Nowosiółki;53.15990819;22.99389124;gmina Choroszcz;S8;16-070;gmina Choroszcz;NULL;województwo podlaskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000343;S3 GRYFINO (WĘZEŁ);NULL;NULL;S3 GRYFINO (WĘZEŁ);GRYFINO, S3, 74-100 GARDNO, POLSKA;NULL;53.26740750;14.62544203;gmina GryfinoGardno;S3;74-100;gmina Gryfino;NULL;województwo zachodniopomorskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000344;S3 PYRZYCE (WĘZEŁ);NULL;NULL;S3 PYRZYCE (WĘZEŁ);PYRZYCE, S3, 74-204 CZARNOWO, POLSKA;NULL;53.12581350;14.73524094;gmina KozieliceCzarnowo;S3;74-204;gmina Kozielice;NULL;województwo zachodniopomorskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000345;S3 MYŚLIBÓRZ (WĘZEŁ);NULL;NULL;S3 MYŚLIBÓRZ (WĘZEŁ);MYŚLIBÓRZ, S3, STRZELNIK, POLSKA;NULL;52.95237418;14.94807959;gmina Myślibórz;S3;NULL;gmina Myślibórz;NULL;województwo zachodniopomorskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000346;S3 GORZÓW WIELKOPOLSKI PÓŁNOC (WĘZEŁ);NULL;NULL;S3 GORZÓW WIELKOPOLSKI PÓŁNOC (WĘZEŁ);GORZÓW WIELKOPOLSKI PÓŁNOC, TRASA ZGODY, 66-413 GORZÓW WIELKOPOLSKI, POLSKA;Małyszyn Wielki;52.74542428;15.16066074;Gorzów Wielkopolski;Trasa Zgody;66-413;Gorzów Wielkopolski;NULL;województwo lubuskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000347;S3 GORZÓW WIELKOPOLSKI ZACHÓD (WĘZEŁ);NULL;NULL;S3 GORZÓW WIELKOPOLSKI ZACHÓD (WĘZEŁ);GORZÓW WIELKOPOLSKI ZACHÓD, TRASA ZGODY, 66-413 GORZÓW WIELKOPOLSKI, POLSKA;NULL;52.71236629;15.15924454;Gorzów Wielkopolski;Trasa Zgody;66-413;Gorzów Wielkopolski;NULL;województwo lubuskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000324;S8 WYSZKÓW PÓŁNOC (WĘZEŁ);NULL;NULL;S8 WYSZKÓW PÓŁNOC (WĘZEŁ);WYSZKÓW PÓŁNOC, S8, 07-221 TURZYN-KOLONIA, POLSKA;NULL;52.61993045;21.49886012;gmina Brańszczyk;S8;07-221;gmina Brańszczyk;NULL;województwo mazowieckie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000348;S3 GORZÓW WIELKOPOLSKI POŁUDNIE (WĘZEŁ);NULL;NULL;S3 GORZÓW WIELKOPOLSKI POŁUDNIE (WĘZEŁ);GORZÓW WIELKOPOLSKI POŁUDNIE, TRASA ZGODY, 66-40 GORZÓW WIELKOPOLSKI, POLSKA;NULL;52.69946897;15.23270488;Gorzów Wielkopolski;Trasa Zgody;66-40;Gorzów Wielkopolski;NULL;województwo lubuskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000357;S3 PÓŁNOCNA (WĘZEŁ);NULL;NULL;S3 PÓŁNOCNA (WĘZEŁ);S3, 65-247 ZIELONA GÓRA, POLSKA;NULL;51.95820408;15.55777788;S3 PÓŁNOCNA;S3;65-247;Zielona Góra;NULL;województwo lubuskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000370;S10 STRYSZEK (WĘZEŁ);NULL;NULL;S10 STRYSZEK (WĘZEŁ);"BYDGOSZCZ POŁUDNIE, S5;S10, 86-061 GMINA BIAŁE BŁOTA, POLSKA";NULL;53.05264523;17.98994601;gmina Białe Błota;"S5;S10";86-061;gmina Białe Błota;NULL;województwo kujawsko-pomorskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000371;S5 STRYSZEK (WĘZEŁ);NULL;NULL;S5 STRYSZEK (WĘZEŁ);"BYDGOSZCZ POŁUDNIE, S5;S10, 86-061 GMINA BIAŁE BŁOTA, POLSKA";NULL;53.05263556;17.98995137;gmina Białe Błota;"S5;S10";86-061;gmina Białe Błota;NULL;województwo kujawsko-pomorskie;NULL;4000.000;NULL;NULL;NULL;NULL
SVB00000372;S10 TORUŃ ZACHÓD (WĘZEŁ);NULL;NULL;S10 TORUŃ ZACHÓD (WĘZEŁ);TORUŃ ZACHÓD, S10, 87-103 MAŁA NIESZAWKA, POLSKA;NULL;52.97119940;18.53971303;gmina Wielka NieszawkaMała Nieszawka;S10;87-103;gmina Wielka Nieszawka;NULL;województwo kujawsko-pomorskie;NULL;4000.000;NULL;NULL;NULL;NULL
