sv_kod;kod;plk;stacja;opiskod1;pelna;dzielnica;szerokosc;dlugosc;miasto;ulica;kod_p;gmina;kraj;wojewodztwo;nrposesjiwpis;promien;jednorazowy;kod_pracy;uwagi;blok
SV0000088847;ŁOWICZ PRZEDM (S);33050;ŁOWICZ PRZEDMIEŚCIE;ŁOWICZ PRZEDMIEŚCIE (STACJA);ŁOWICZ PRZEDMIEŚCIE (STACJA) 99-400 woj.ŁÓDZKIE;NULL;52.09307200;19.94677900;ŁOWICZ;NULL;99-400;NULL;POLSKA;ŁÓDZKIE;NULL;2000.000;NULL;NULL;l;NULL
NULL;ŁOWISKA (D);NULL;NULL;ŁOWISKA (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ŁOWISKA (S);NULL;NULL;ŁOWISKA (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ŁOWISKO (D);NULL;NULL;ŁOWISKO (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ŁOWISKO (S);NULL;NULL;ŁOWISKO (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000091104;ŁOWKOWICE (S);57067;ŁOWKOWICE;ŁOWKOWICE (STACJA);Krapkowicka 49a, 47-364 Łowkowice, Polska;NULL;50.44700660;17.89341310;ŁOWKOWICE;Krapkowicka;47-364;gmina Strzeleczki;POLSKA;OPOLSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000089720;ŁOWYŃ (S);26989;ŁOWYŃ;ŁOWYŃ (STACJA);ŁOWYŃ (STACJA) 64-400 woj.WIELKOPOLSKIE;NULL;52.50078829;15.94972926;ŁOWYŃ;NULL;64-400;NULL;POLSKA;WIELKOPOLSKIE;NULL;2000.000;NULL;NULL;l;NULL
NULL;ŁOZIENICA (D);NULL;NULL;ŁOZIENICA (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MALCE (S);NULL;NULL;MALCE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000091542;MALCZYCE (S);53405;MALCZYCE;MALCZYCE (STACJA);DWORCOWA, 55-320 MALCZYCE, POLSKA;NULL;51.21570145;16.48599386;powiat średzkiMalczyce;Dworcowa;55-320;powiat średzki;POLSKA;województwo dolnośląskie;NULL;1000.000;NULL;NULL;NULL;NULL
