,kod,plk,stacja,opiskod1,pelna,szerokosc,dlugosc,wojewodztwo,Coordinates
311,CIMOCHY (S),12179.0,CIMOCHY,CIMOCHY (STACJA),CIMOCHY (STACJA) 17-210 woj.PODLASKIE,52.9230365,23.5808785,PODLASKIE,"52.9230365,23.5808785,CIMOCHY (STACJA)"
312,CIOSMY (S),66514.0,CIOSMY,CIOSMY (STACJA),"60, 23-400 Ciosmy, Polska",50.5436809,22.5456811,LUBELSKIE,"50.5436809,22.5456811,CIOSMY (STACJA)"
313,DALĘCINO (S),3038.0,DALĘCINO,DALĘCINO (STACJA),DALĘCINO (STACJA) 78-404 woj.ZACHODNIOPOMORSKIE,53.74762478,16.60944692,ZACHODNIOPOMORSKIE,"53.74762478,16.60944692,DALĘCINO (STACJA)"
316,DAMASŁAWEK (S),31807.0,DAMASŁAWEK,DAMASŁAWEK (STACJA),DAMASŁAWEK (STACJA) 62-110 woj.WIELKOPOLSKIE,52.84373529,17.49723892,WIELKOPOLSKIE,"52.84373529,17.49723892,DAMASŁAWEK (STACJA)"
318,DAMNICA (S),4895.0,DAMNICA,DAMNICA (STACJA),DAMNICA KOLEJOWA woj.POMORSKIE Stacja:DAMNICA,54.49792743,17.27133004,POMORSKIE,"54.49792743,17.27133004,DAMNICA (STACJA)"
322,DANISZYN (S),44081.0,DANISZYN,DANISZYN (STACJA),DANISZYN (STACJA) 63-400 woj.WIELKOPOLSKIE,51.66719526,17.61626239,WIELKOPOLSKIE,"51.66719526,17.61626239,DANISZYN (STACJA)"
324,DANKOWICE (S),77255.0,DANKOWICE,DANKOWICE (STACJA),"Dworzec PKP Dankowice, Juliusza Słowackiego, Dankowice, Polska",49.9370187,19.0820092,ŚLĄSKIE,"49.9370187,19.0820092,DANKOWICE (STACJA)"
333,DĄBIE K. DĘBICY (S),81380.0,DĄBIE K. DĘBICY,DĄBIE K. DĘBICY (STACJA),"986, Dąbie, Polska",50.1687207,21.4990142,PODKARPACKIE,"50.1687207,21.4990142,DĄBIE K. DĘBICY (STACJA)"
334,DĄBIE N. NEREM (S),19158.0,DĄBIE N. NEREM,DĄBIE N. NEREM (STACJA),DĄBIE N. NEREM (STACJA) 62-660 woj.WIELKOPOLSKIE,52.10370315,18.86019588,WIELKOPOLSKIE,"52.10370315,18.86019588,DĄBIE N. NEREM (STACJA)"
335,DĄBKOWIZNA (S),36640.0,DĄBKOWIZNA,DĄBKOWIZNA (STACJA),DĄBKOWIZNA (STACJA) 05-126 woj.MAZOWIECKIE,52.4255076,21.0837586,MAZOWIECKIE,"52.4255076,21.0837586,DĄBKOWIZNA (STACJA)"
336,DĄBROSZYN (S),14068.0,DĄBROSZYN,DĄBROSZYN (STACJA),DĄBROSZYN (STACJA) 66-460 woj.LUBUSKIE,52.61876602,14.71195845,LUBUSKIE,"52.61876602,14.71195845,DĄBROSZYN (STACJA)"
340,DĄBROWA G T DTA (S),178597.0,DĄBROWA GÓRNICZA TOWAROWA DTA,DĄBROWA GÓRNICZA TOWAROWA DTA (STACJA),"Towarowa 4, 41-300 Dąbrowa Górnicza, Polska",50.3092823,19.2713448,ŚLĄSKIE,"50.3092823,19.2713448,DĄBROWA GÓRNICZA TOWAROWA DTA (STACJA)"
341,DĄBROWA GÓR GOŁO (S),74567.0,DĄBROWA GÓRNICZA GOŁONÓG,DĄBROWA GÓRNICZA GOŁONÓG (STACJA),"Romana Piecucha 27, 41-300 Dąbrowa Górnicza, Polska",50.3437445,19.2262576,ŚLĄSKIE,"50.3437445,19.2262576,DĄBROWA GÓRNICZA GOŁONÓG (STACJA)"
342,DĄBROWA GÓR HUTA (S),74856.0,DĄBROWA G. HUTA KATOWICE,DĄBROWA GÓRNICZA HUTA KATOWICE (STACJA),"Budowlanych, Dąbrowa Górnicza, Polska",50.3350786,19.2567895,ŚLĄSKIE,"50.3350786,19.2567895,DĄBROWA GÓRNICZA HUTA KATOWICE (STACJA)"
343,DĄBROWA GÓR PD (S),74161.0,DĄBROWA GÓRNICZA POŁUDNIOWA,DĄBROWA GÓRNICZA POŁUDNIOWA (STACJA),"Gabriela Narutowicza 17, 41-300 Dąbrowa Górnicza, Polska",50.3130166,19.2866859,ŚLĄSKIE,"50.3130166,19.2866859,DĄBROWA GÓRNICZA POŁUDNIOWA (STACJA)"
344,DĄBROWA GÓR POG (S),74542.0,DĄBROWA GÓRNICZA POGORIA,DĄBROWA GÓRNICZA POGORIA (STACJA),"Żeglarska 10, 41-300 Dąbrowa Górnicza, Polska",50.3512,19.24126,ŚLĄSKIE,"50.3512,19.24126,DĄBROWA GÓRNICZA POGORIA (STACJA)"
345,DĄBROWA GÓR SIK (S),74534.0,DĄBROWA GÓRNICZA SIKORKA,DĄBROWA GÓRNICZA SIKORKA (STACJA),"Gilowa 6, 41-300 Dąbrowa Górnicza, Polska",50.3885293,19.2995496,ŚLĄSKIE,"50.3885293,19.2995496,DĄBROWA GÓRNICZA SIKORKA (STACJA)"
346,DĄBROWA GÓR STRZ (S),74815.0,DĄBROWA GÓRN. STRZEMIESZYCE,DĄBROWA GÓRNICZA STRZEMIESZYCE (STACJA),"Dworzec PKP Dąbrowa Górnicza Strzemieszyce, Stacyjna, Dąbrowa Górnicza, Polska",50.3113665,19.2675822,ŚLĄSKIE,"50.3113665,19.2675822,DĄBROWA GÓRNICZA STRZEMIESZYCE (STACJA)"
347,DĄBROWA GÓR TOW (S),74401.0,DĄBROWA GÓRNICZA TOWAROWA,DĄBROWA GÓRNICZA TOWAROWA (STACJA),"SKŁADOWA, 42-530 DĄBROWA GÓRNICZA, POLSKA",50.31686005,19.32623863,województwo śląskie,"50.31686005,19.32623863,DĄBROWA GÓRNICZA TOWAROWA (STACJA)"
348,DĄBROWA GÓR WSCH (S),74880.0,DĄBROWA GÓRNICZA WSCHODNIA,DĄBROWA GÓRNICZA WSCHODNIA (STACJA),"Rudna, Dąbrowa Górnicza, Polska",50.3051696,19.3109236,ŚLĄSKIE,"50.3051696,19.3109236,DĄBROWA GÓRNICZA WSCHODNIA (STACJA)"
349,DĄBROWA GÓR ZĄB (S),74500.0,DĄBROWA GÓRNICZA ZĄBKOWICE,DĄBROWA GÓR ZĄB (S),"Władysława Sikorskiego 24, 41-300 Dąbrowa Górnicza, Polska",50.3695435,19.2675758,ŚLĄSKIE,"50.3695435,19.2675758,DĄBROWA GÓR ZĄB (S)"
351,DĄBROWA GÓRNICZA (S),179685.0,DĄBROWA GÓRNICZA R.7,DĄBROWA GÓRNICZA (STACJA),"Kolejowa 2, 41-300 Dąbrowa Górnicza, Polska",50.3289382,19.1870685,ŚLĄSKIE,"50.3289382,19.1870685,DĄBROWA GÓRNICZA (STACJA)"
353,DĄBROWA ŁAZY (S),24711.0,DĄBROWA ŁAZY,DĄBROWA ŁAZY (STACJA),"2077B, 18-210 Dąbrowa-Moczydły, Polska",52.8388498,22.50188,PODLASKIE,"52.8388498,22.50188,DĄBROWA ŁAZY (STACJA)"
354,DĄBROWA MIĘDZY (S),31831.0,DĄBROWA MIĘDZYLESIE,DĄBROWA MIĘDZYLESIE (STACJA),DĄBROWA MIĘDZYLESIE (STACJA) 62-110 woj.WIELKOPOLSKIE,52.80896487,17.48675128,WIELKOPOLSKIE,"52.80896487,17.48675128,DĄBROWA MIĘDZYLESIE (STACJA)"
355,DĄBROWA NAMYSŁ (S),62430.0,DĄBROWA NAMYSŁOWSKA,DĄBROWA NAMYSŁOWSKA (STACJA),"Kolejowa 39, 46-112 Dąbrowa, Polska",50.9629787,17.7977076,OPOLSKIE,"50.9629787,17.7977076,DĄBROWA NAMYSŁOWSKA (STACJA)"
356,DĄBROWICA MAŁOP (S),65771.0,DĄBROWICA MAŁOPOLSKA,DĄBROWICA MAŁOPOLSKA (STACJA),"159, 39-450 Dąbrowica, Polska",50.4859095,21.6226891,PODKARPACKIE,"50.4859095,21.6226891,DĄBROWICA MAŁOPOLSKA (STACJA)"
357,DĄBROWICA PO (S),37556.0,DĄBROWICA,DĄBROWICA PO (STACJA),DĄBROWICA PO (STACJA) 33-230 woj.MAŁOPOLSKIE,50.2948391,21.1383622,MAŁOPOLSKIE,"50.2948391,21.1383622,DĄBROWICA PO (STACJA)"
362,DĄBROWY (S),17285.0,DĄBROWY,DĄBROWY (STACJA),JEŻEWO WIATRAKOWA woj.KUJAWSKO-POMORSKIE Stacja:DĄBROWY,53.5182519,18.49289123,KUJAWSKO-POMORSKIE,"53.5182519,18.49289123,DĄBROWY (STACJA)"
364,DĄBRÓWKA BYTOW (S),5637.0,DĄBRÓWKA BYTOWSKA,DĄBRÓWKA BYTOWSKA (STACJA),DĄBRÓWKA BYTOWSKA (STACJA) 77-132 woj.POMORSKIE,54.16547535,17.41200694,POMORSKIE,"54.16547535,17.41200694,DĄBRÓWKA BYTOWSKA (STACJA)"
366,DĄBRÓWKA KOBUL (S),9878.0,DĄBRÓWKA KOBULCKA,DĄBRÓWKA KOBULCKA (STACJA),DĄBRÓWKA KOBULCKA (STACJA) 11-300 woj.WARMIŃSKO-MAZURSKIE,53.8406727,21.0686669,WARMIŃSKO-MAZURSKIE,"53.8406727,21.0686669,DĄBRÓWKA KOBULCKA (STACJA)"
374,DĘBA OPOCZYŃSKA (S),48868.0,DĘBA OPOCZYŃSKA,DĘBA OPOCZYŃSKA (STACJA),"DWORZEC PKP DĘBA OPOCZYŃSKA, 726, DĘBORZECZKA, POLSKA",51.48233835,20.25670767,województwo łódzkie,"51.48233835,20.25670767,DĘBA OPOCZYŃSKA (STACJA)"
375,DĘBA ROZALIN (S),65524.0,DĘBA ROZALIN,DĘBA ROZALIN (STACJA),"Wczasowa, Nowa Dęba, Polska",50.425404,21.7427611,PODKARPACKIE,"50.425404,21.7427611,DĘBA ROZALIN (STACJA)"
378,DĘBE WIELKIE (S),39123.0,DĘBE WIELKIE,DĘBE WIELKIE (STACJA),DĘBE WIELKIE GEN. HALLERA J. woj.MAZOWIECKIE Stacja:DĘBE WIELKIE,52.1993152,21.4204876,MAZOWIECKIE,"52.1993152,21.4204876,DĘBE WIELKIE (STACJA)"
381,DĘBICA (S),81208.0,DĘBICA,DĘBICA (STACJA),"Spółdzielcza 4, 39-200 Dębica, Polska",50.0512826,21.4109209,PODKARPACKIE,"50.0512826,21.4109209,DĘBICA (STACJA)"
382,DĘBICA TOWAROWA (S),81349.0,DĘBICA TOWAROWA,DĘBICA TOWAROWA (STACJA),"Ignacego Mościckiego, Dębica, Polska",50.0653277,21.433072,PODKARPACKIE,"50.0653277,21.433072,DĘBICA TOWAROWA (STACJA)"
388,DĘBINA (S),69336.0,DĘBINA,DĘBINA (STACJA),"Myśliwska, Pawłowice, Polska",49.938574,18.7369356,ŚLĄSKIE,"49.938574,18.7369356,DĘBINA (STACJA)"
394,DĘBLIN TOWAROWY (S),177994.0,DĘBLIN TOWAROWY,DĘBLIN TOWAROWY (STACJA),DĘBLIN KONOPNICKIEJ M. woj.LUBELSKIE Stacja:DĘBLIN TOWAROWY,51.5628254,21.84487581,LUBELSKIE,"51.5628254,21.84487581,DĘBLIN TOWAROWY (STACJA)"
396,DĘBNO (S),13508.0,DĘBNO LUBUSKIE,DĘBNO (STACJA),DĘBNO BACZEWSKIEGO woj.ZACHODNIOPOMORSKIE Stacja:DĘBNO LUBUSKIE,52.73821774,14.70974226,ZACHODNIOPOMORSKIE,"52.73821774,14.70974226,DĘBNO (STACJA)"
399,DĘBOSTRÓW (S),760.0,DĘBOSTRÓW,DĘBOSTRÓW (STACJA),DĘBOSTRÓW (STACJA) 72-010 woj.ZACHODNIOPOMORSKIE,53.60460095,14.51926677,ZACHODNIOPOMORSKIE,"53.60460095,14.51926677,DĘBOSTRÓW (STACJA)"
405,DĘBOWY GAJ (S),55947.0,DĘBOWY GAJ,DĘBOWY GAJ (STACJA),"4, 59-600 Dębowy Gaj, Polska",51.0783301,15.6436647,DOLNOŚLĄSKIE,"51.0783301,15.6436647,DĘBOWY GAJ (STACJA)"
406,DĘBSKA KUŹNIA (S),61564.0,DĘBSKA KUŹNIA,DĘBSKA KUŹNIA (STACJA),"Osiedle Podlesie 1, 46-053 Dębska Kuźnia, Polska",50.6648564,18.1124132,OPOLSKIE,"50.6648564,18.1124132,DĘBSKA KUŹNIA (STACJA)"
407,DĘBSKA WOLA (S),64097.0,DĘBSKA WOLA,DĘBSKA WOLA (STACJA),"102A, 26-026 Dębska Wola, Polska",50.71762,20.59481,ŚWIĘTOKRZYSKIE,"50.71762,20.59481,DĘBSKA WOLA (STACJA)"
408,DĘBSKO POMORSKIE (S),15099.0,DĘBSKO POMORSKIE,DĘBSKO POMORSKIE (STACJA),DĘBSKO POMORSKIE (STACJA) 78-540 woj.ZACHODNIOPOMORSKIE,53.26059742,15.84290637,ZACHODNIOPOMORSKIE,"53.26059742,15.84290637,DĘBSKO POMORSKIE (STACJA)"
412,DIONIZÓW (S),19422.0,DIONIZÓW PODG,DIONIZÓW (STACJA),DIONIZÓW (STACJA) 98-220 woj.ŁÓDZKIE,51.6285488,18.9579479,ŁÓDZKIE,"51.6285488,18.9579479,DIONIZÓW (STACJA)"
415,FLOREK (S),179072.0,FLOREK,FLOREK (STACJA),"99-302 FLOREK, POLSKA",52.26069812,19.32076693,województwo łódzkie,"52.26069812,19.32076693,FLOREK (STACJA)"
416,FOSOWSKIE (S),61507.0,FOSOWSKIE,FOSOWSKIE (STACJA),KOLONOWSKIE DWORCOWA woj.OPOLSKIE Stacja:FOSOWSKIE,50.6601877,18.36016703,OPOLSKIE,"50.6601877,18.36016703,FOSOWSKIE (STACJA)"
417,FRANKAMIONKA (S),66043.0,FRANKAMIONKA,FRANKAMIONKA (STACJA),FRANKAMIONKA (STACJA) 22-455 woj.LUBELSKIE,50.7260309,23.6546856,LUBELSKIE,"50.7260309,23.6546856,FRANKAMIONKA (STACJA)"
418,FRANKFURT ODER PBF (S),800394205.0,Frankfurt (Oder) Pbf,FRANKFURT ODER PBF (STACJA),FRANKFURT (ODER) BAHNHOFSTRAßE woj.BRANDENBURG Stacja:Frankfurt (Oder) Pbf,52.337,14.544,BRANDENBURG,"52.337,14.544,FRANKFURT ODER PBF (STACJA)"
423,FROMBORK (S),11486.0,FROMBORK,FROMBORK (STACJA),FROMBORK (STACJA) 14-530 woj.WARMIŃSKO-MAZURSKIE,54.3572847,19.6830069,WARMIŃSKO-MAZURSKIE,"54.3572847,19.6830069,FROMBORK (STACJA)"
425,FRYSZTAK (S),82859.0,FRYSZTAK,FRYSZTAK (STACJA),"PERON, 1925R, 38-130 TWIERDZA, POLSKA",49.83144993,21.6181004,województwo podkarpackie,"49.83144993,21.6181004,FRYSZTAK (STACJA)"
428,GACZ (S),31922.0,GACZ,GACZ (STACJA),GACZ (STACJA) 88-430 woj.KUJAWSKO-POMORSKIE,52.7146,17.49981,KUJAWSKO-POMORSKIE,"52.7146,17.49981,GACZ (STACJA)"
440,GAŁĘZINOWO (S),4697.0,GAŁĘZINOWO,GAŁĘZINOWO (STACJA),GAŁĘZINOWO (STACJA) 76-200 woj.POMORSKIE,54.51292538,16.96407625,POMORSKIE,"54.51292538,16.96407625,GAŁĘZINOWO (STACJA)"
441,GAŁKÓWEK (S),46516.0,GAŁKÓWEK,GAŁKÓWEK (STACJA),GAŁKÓW DUŻY KOLEJOWA woj.ŁÓDZKIE Stacja:GAŁKÓWEK,51.7297627,19.7319279,ŁÓDZKIE,"51.7297627,19.7319279,GAŁKÓWEK (STACJA)"
442,GAMERKI WIELKIE (S),9555.0,GAMERKI WIELKIE,GAMERKI WIELKIE (STACJA),GAMERKI WIELKIE (STACJA) 11-042 woj.WARMIŃSKO-MAZURSKIE,53.84653,20.13588,WARMIŃSKO-MAZURSKIE,"53.84653,20.13588,GAMERKI WIELKIE (STACJA)"
443,GARBATKA LETN (S),50286.0,GARBATKA-LETNISKO,GARBATKA LETNISKO (STACJA),"DWORZEC PKP GARBATKA, KOLEJOWA 1, 26-930 GARBATKA-LETNISKO, POLSKA",51.49506473,21.62980556,województwo mazowieckie,"51.49506473,21.62980556,GARBATKA LETNISKO (STACJA)"
444,GARBCE (S),44438.0,GARBCE,GARBCE (STACJA),GARBCE (STACJA) 55-140 woj.DOLNOŚLĄSKIE,51.50975024,16.8918123,DOLNOŚLĄSKIE,"51.50975024,16.8918123,GARBCE (STACJA)"
446,GARCZ (S),18069.0,GARCZ,GARCZ (STACJA),GARCZ SIANOWSKA woj.POMORSKIE Stacja:GARCZ,54.34749,18.10352,POMORSKIE,"54.34749,18.10352,GARCZ (STACJA)"
447,GARCZEGORZE (S),5280.0,GARCZEGORZE,GARCZEGORZE (STACJA),GARCZEGORZE (STACJA) 84-351 woj.POMORSKIE,54.58985709,17.7031005,POMORSKIE,"54.58985709,17.7031005,GARCZEGORZE (STACJA)"
448,GARCZYN (S),17590.0,GARCZYN,GARCZYN (STACJA),GARCZYN (STACJA) 83-400 woj.POMORSKIE,54.12399232,17.91191051,POMORSKIE,"54.12399232,17.91191051,GARCZYN (STACJA)"
450,GARDEJA (S),20552.0,GARDEJA,GARDEJA (STACJA),GARDEJA (STACJA) 82-520 woj.POMORSKIE,53.5919852,18.9325324,POMORSKIE,"53.5919852,18.9325324,GARDEJA (STACJA)"
453,GARKI (S),46060.0,GARKI,GARKI (STACJA),GARKI (STACJA) 63-430 woj.WIELKOPOLSKIE,51.54112495,17.64901168,WIELKOPOLSKIE,"51.54112495,17.64901168,GARKI (STACJA)"
454,GARWOLIN (S),39263.0,GARWOLIN,GARWOLIN (STACJA),"DWORCOWA 12, 08-410 WOLA RĘBKOWSKA, POLSKA",51.90040883,21.55504704,województwo mazowieckie,"51.90040883,21.55504704,GARWOLIN (STACJA)"
455,GARZYN (S),42713.0,GARZYN,GARZYN (STACJA),GARZYN AKACJOWA woj.WIELKOPOLSKIE Stacja:GARZYN,51.86720263,16.79321034,WIELKOPOLSKIE,"51.86720263,16.79321034,GARZYN (STACJA)"
460,GAWORZYCE (S),42382.0,GAWORZYCE,GAWORZYCE (STACJA),"Dworcowa 184, 59-180 Gaworzyce, Polska",51.62274,15.87944,DOLNOŚLĄSKIE,"51.62274,15.87944,GAWORZYCE (STACJA)"
461,GAWRONY (S),32581.0,GAWRONY,GAWRONY (STACJA),GAWRONY (STACJA) 99-100 woj.ŁÓDZKIE,52.1180755,19.2158399,ŁÓDZKIE,"52.1180755,19.2158399,GAWRONY (STACJA)"
462,GĄDKI (S),30239.0,GĄDKI,GĄDKI (STACJA),GĄDKI (STACJA) 62-023 woj.WIELKOPOLSKIE,52.30238312,17.04461268,WIELKOPOLSKIE,"52.30238312,17.04461268,GĄDKI (STACJA)"
464,GĄDKÓW (S),25908.0,GĄDKÓW WIELKI,GĄDKÓW (STACJA),GĄDKÓW (STACJA) 66-235 woj.LUBUSKIE,52.24631002,14.96359474,LUBUSKIE,"52.24631002,14.96359474,GĄDKÓW (STACJA)"
465,GĄDKÓW WIELKI (S),25908.0,GĄDKÓW WIELKI,GĄDKÓW WIELKI (STACJA),GĄDKÓW WIELKI (STACJA) 66-235 woj.LUBUSKIE,52.24631002,14.96359474,LUBUSKIE,"52.24631002,14.96359474,GĄDKÓW WIELKI (STACJA)"
468,GĄGŁAWKI (S),9431.0,GĄGŁAWKI,GĄGŁAWKI (STACJA),GĄGŁAWKI (STACJA) 11-033 woj.WARMIŃSKO-MAZURSKIE,53.6868856,20.4547263,WARMIŃSKO-MAZURSKIE,"53.6868856,20.4547263,GĄGŁAWKI (STACJA)"
472,GĄSKI (S),47183.0,GĄSKI,GĄSKI (STACJA),GĄSKI POŁUDNIOWA woj.MAZOWIECKIE Stacja:GĄSKI,51.9669449,20.8813601,MAZOWIECKIE,"51.9669449,20.8813601,GĄSKI (STACJA)"
473,GĄSOCIN (S),36871.0,GĄSOCIN,GĄSOCIN (STACJA),GĄSOCIN DWORCOWA woj.MAZOWIECKIE Stacja:GĄSOCIN,52.738925,20.7202193,MAZOWIECKIE,"52.738925,20.7202193,GĄSOCIN (STACJA)"
474,GDAKOWO (S),23051.0,GDAKOWO,GDAKOWO (STACJA),GDAKOWO (STACJA) 82-550 woj.POMORSKIE,53.8166083,19.1701731,POMORSKIE,"53.8166083,19.1701731,GDAKOWO (STACJA)"
478,GDAŃSK (S),7500.0,GDAŃSK GŁÓWNY,GDAŃSK (STACJA),GDAŃSK (STACJA) 80-802 woj.POMORSKIE,54.35713388,18.6442584,POMORSKIE,"54.35713388,18.6442584,GDAŃSK (STACJA)"
482,GDAŃSK BRZEŹNO (S),7732.0,GDAŃSK BRZEŹNO PO,GDAŃSK BRZEŹNO PO (STACJA),GDAŃSK PRZEMYSŁOWA woj.POMORSKIE Stacja:GDAŃSK BRZEŹNO PO,54.4049064,18.65564157,POMORSKIE,"54.4049064,18.65564157,GDAŃSK BRZEŹNO PO (STACJA)"
494,GDAŃSK GŁÓWNY (S),7500.0,GDAŃSK GŁÓWNY,GDAŃSK GŁÓWNY (STACJA),GDAŃSK GŁÓWNY (STACJA) 80-802 woj.POMORSKIE,54.3564286,18.6443259,POMORSKIE,"54.3564286,18.6443259,GDAŃSK GŁÓWNY (STACJA)"
502,GDAŃSK KAN KASZ (S),7823.0,GDAŃSK KANAŁ KASZUBSKI,GDAŃSK KANAŁ KASZUBSKI (STACJA),"SIENNICKA, 80-704 GDAŃSK, POLSKA",54.36058243,18.68450403,województwo pomorskie,"54.36058243,18.68450403,GDAŃSK KANAŁ KASZUBSKI (STACJA)"
505,GDAŃSK KOLONIA (S),7575.0,GDAŃSK KOLONIA,GDAŃSK KOLONIA (STACJA),GDAŃSK KOLONIA (STACJA) 80-405 woj.POMORSKIE,54.38470316,18.62957823,POMORSKIE,"54.38470316,18.62957823,GDAŃSK KOLONIA (STACJA)"
508,GDAŃSK LIPCE (S),7245.0,GDAŃSK LIPCE,GDAŃSK LIPCE (STACJA),GDAŃSK ZAWIEJSKA woj.POMORSKIE Stacja:GDAŃSK LIPCE,54.3023198,18.6354919,POMORSKIE,"54.3023198,18.6354919,GDAŃSK LIPCE (STACJA)"
511,GDAŃSK NOWE SZK (S),7542.0,GDAŃSK NOWE SZKOTY,GDAŃSK NOWE SZKOTY (STACJA),GDAŃSK WĘZEŁ KLINICZNA woj.POMORSKIE Stacja:GDAŃSK NOWE SZKOTY,54.3748802,18.6286955,POMORSKIE,"54.3748802,18.6286955,GDAŃSK NOWE SZKOTY (STACJA)"
520,GOŚCISZEWO (S),8094.0,GOŚCISZEWO,GOŚCISZEWO (STACJA),GOŚCISZEWO (STACJA) 82-400 woj.POMORSKIE,53.9821647,19.0010843,POMORSKIE,"53.9821647,19.0010843,GOŚCISZEWO (STACJA)"
522,GOŚCISZÓW (S),52159.0,GOŚCISZÓW,GOŚCISZÓW (STACJA),"179b, 59-732 Gościszów, Polska",51.159217,15.4466327,DOLNOŚLĄSKIE,"51.159217,15.4466327,GOŚCISZÓW (STACJA)"
525,GOŚNIEWICE (S),48645.0,GOŚNIEWICE,GOŚNIEWICE (STACJA),GOŚNIEWICE (STACJA) 05-660 woj.MAZOWIECKIE,51.8258567,21.148368,MAZOWIECKIE,"51.8258567,21.148368,GOŚNIEWICE (STACJA)"
526,GOŚWINOWICE (S),56671.0,GOŚWINOWICE,GOŚWINOWICE (STACJA),"Dworzec PKP Goświnowice, Kolejowa, Goświnowice, Polska",50.4786683,17.2570708,OPOLSKIE,"50.4786683,17.2570708,GOŚWINOWICE (STACJA)"
530,GOWORKI BSZ (S),177974.0,GOWORKI BSZ,GOWORKI BSZ (STACJA),"Przemysłowa 1, 07-410 Goworki, Polska",53.0763775,21.6246204,MAZOWIECKIE,"53.0763775,21.6246204,GOWORKI BSZ (STACJA)"
534,GÓRA (S),44933.0,GÓRA,GÓRA (STACJA),GÓRA (STACJA) 63-233 woj.WIELKOPOLSKIE,51.95536972,17.3707438,WIELKOPOLSKIE,"51.95536972,17.3707438,GÓRA (STACJA)"
535,GÓRA KALWARIA (S),40345.0,GÓRA KALWARIA,GÓRA KALWARIA (STACJA),GÓRA KALWARIA (STACJA) 05-530 woj.MAZOWIECKIE,51.9843765,21.2140226,MAZOWIECKIE,"51.9843765,21.2140226,GÓRA KALWARIA (STACJA)"
537,GÓRA POMORSKA (S),6353.0,GÓRA POMORSKA,GÓRA POMORSKA (STACJA),GÓRA POMORSKA (STACJA) 84-252 woj.POMORSKIE,54.63710682,18.13570263,POMORSKIE,"54.63710682,18.13570263,GÓRA POMORSKA (STACJA)"
540,GÓRAŻDŻE (S),61937.0,GÓRAŻDŻE,GÓRAŻDŻE (STACJA),GÓRAŻDŻE (STACJA) 47-316 woj.OPOLSKIE,50.52982816,18.0032549,OPOLSKIE,"50.52982816,18.0032549,GÓRAŻDŻE (STACJA)"
541,GÓRAŻDŻE CEMENT (S),61937.0,GÓRAŻDŻE,GÓRAŻDŻE CEMENT (STACJA),"GÓRAŻDŻE GD, KOLEJOWA, 47-316 GÓRAŻDŻE, POLSKA",50.5255348,18.00469279,województwo opolskie,"50.5255348,18.00469279,GÓRAŻDŻE CEMENT (STACJA)"
544,GÓRKA DUCHOWNA (S),42663.0,GÓRKA DUCHOWNA,GÓRKA DUCHOWNA (STACJA),GÓRKA DUCHOWNA (STACJA) 64-111 woj.WIELKOPOLSKIE,51.95414,16.57671,WIELKOPOLSKIE,"51.95414,16.57671,GÓRKA DUCHOWNA (STACJA)"
546,GÓRKI (S),7146.0,GÓRKI,GÓRKI (STACJA),"30 Stycznia 35, Tczew, Polska",54.06391,18.77372,POMORSKIE,"54.06391,18.77372,GÓRKI (STACJA)"
547,GÓRKI NOTECKIE (S),14340.0,GÓRKI NOTECKIE,GÓRKI NOTECKIE (STACJA),GÓRKI NOTECKIE KOLONIA KOLEJOWA woj.LUBUSKIE Stacja:GÓRKI NOTECKIE,52.79295068,15.4875738,LUBUSKIE,"52.79295068,15.4875738,GÓRKI NOTECKIE (STACJA)"
548,GÓRKI POMORSKIE (S),1685.0,GÓRKI POMORSKIE,GÓRKI POMORSKIE (STACJA),GÓRKI POMORSKIE (STACJA) 72-400 woj.ZACHODNIOPOMORSKIE,53.9013296,14.82458585,ZACHODNIOPOMORSKIE,"53.9013296,14.82458585,GÓRKI POMORSKIE (STACJA)"
549,GÓRKI SZCZUKOW (S),63628.0,GÓRKI SZCZUKOWSKIE,GÓRKI SZCZUKOWSKIE (STACJA),"46a, 26-065 Szczukowskie Górki, Polska",50.88271,20.52556,ŚWIĘTOKRZYSKIE,"50.88271,20.52556,GÓRKI SZCZUKOWSKIE (STACJA)"
550,GÓRKI ŚLĄSKIE (S),68866.0,GÓRKI ŚLĄSKIE,GÓRKI ŚLĄSKIE (STACJA),"Dworzec PKP Górki Śląskie, Rudzka, 47-440 Górki Śląskie, Polska",50.1419662,18.3901459,ŚLĄSKIE,"50.1419662,18.3901459,GÓRKI ŚLĄSKIE (STACJA)"
563,GÓRZYCA (S),13086.0,GÓRZYCA,GÓRZYCA (STACJA),GÓRZYCA KOLEJOWA woj.LUBUSKIE Stacja:GÓRZYCA,52.50007,14.65618,LUBUSKIE,"52.50007,14.65618,GÓRZYCA (STACJA)"
564,GÓRZYCA RESKA (S),2162.0,GÓRZYCA RESKA,GÓRZYCA RESKA (STACJA),GÓRZYCA RESKA (STACJA) 72-300 woj.ZACHODNIOPOMORSKIE,53.9691711,15.2325913,ZACHODNIOPOMORSKIE,"53.9691711,15.2325913,GÓRZYCA RESKA (STACJA)"
567,GÓRZYNIEC (S),56150.0,GÓRZYNIEC,GÓRZYNIEC (STACJA),"Grzybowa 1, Piechowice, Polska",50.86052,15.56839,DOLNOŚLĄSKIE,"50.86052,15.56839,GÓRZYNIEC (STACJA)"
