,kod,plk,stacja,opiskod1,pelna,szerokosc,dlugosc,wojewodztwo,Coordinates
4878,BIŁGORAJ (S),66407.0,BIŁGORAJ,BIŁGORAJ (STACJA),"DWORCOWA, 23-400 BIŁGORAJ, POLSKA",50.55090776,22.73206472,województwo lubelskie,"50.55090776,22.73206472,BIŁGORAJ (STACJA)"
4880,BINIEW (S),44883.0,BINIEW,BINIEW (STACJA),BINIEW (STACJA) 63-450 woj.WIELKOPOLSKIE,51.73974733,17.79218809,WIELKOPOLSKIE,"51.73974733,17.79218809,BINIEW (STACJA)"
4881,BININO (S),28860.0,BININO,BININO (STACJA),BININO (STACJA) 64-560 woj.WIELKOPOLSKIE,52.6387469,16.3860157,WIELKOPOLSKIE,"52.6387469,16.3860157,BININO (STACJA)"
4882,BIŃCZE (S),3178.0,BIŃCZE,BIŃCZE (STACJA),BIŃCZE (STACJA) 77-324 woj.POMORSKIE,53.66005118,17.12841004,POMORSKIE,"53.66005118,17.12841004,BIŃCZE (STACJA)"
4884,BISKUPICE (S),30973.0,BISKUPICE WIELKOPOLSKIE,BISKUPICE (STACJA),"DĄBRÓWKI 2-4, 62-007 BISKUPICE, POLSKA",52.46688701,17.16997862,województwo wielkopolskie,"52.46688701,17.16997862,BISKUPICE (STACJA)"
4885,BISKUPICE KLUCZ (S),61333.0,BISKUPICE K. KLUCZBORKA,BISKUPICE K. KLUCZBORKA (STACJA),BISKUPICE K. KLUCZBORKA (STACJA) 46-220 woj.OPOLSKIE,51.07324172,18.21019672,OPOLSKIE,"51.07324172,18.21019672,BISKUPICE K. KLUCZBORKA (STACJA)"
4886,BISKUPICE LUB (S),50674.0,BISKUPICE LUBELSKIE,BISKUPICE LUBELSKIE (STACJA),BISKUPICE LUBELSKIE (STACJA) 21-044 woj.LUBELSKIE,51.1614438,22.9470252,LUBELSKIE,"51.1614438,22.9470252,BISKUPICE LUBELSKIE (STACJA)"
4887,BISKUPICE OŁ (S),58388.0,BISKUPICE OŁAWSKIE,BISKUPICE OŁAWSKIE (STACJA),BISKUPICE OŁAWSKIE KOLEJOWA woj.DOLNOŚLĄSKIE Stacja:BISKUPICE OŁAWSKIE,50.99362464,17.51669806,DOLNOŚLĄSKIE,"50.99362464,17.51669806,BISKUPICE OŁAWSKIE (STACJA)"
4895,BISKUPIEC POM (S),21071.0,BISKUPIEC POMORSKI,BISKUPIEC POMORSKI (STACJA),BISKUPIEC POMORSKI (STACJA) 13-330 woj.WARMIŃSKO-MAZURSKIE,53.4894477,19.3884985,WARMIŃSKO-MAZURSKIE,"53.4894477,19.3884985,BISKUPIEC POMORSKI (STACJA)"
4896,BISKUPIEC RESZ (S),9746.0,BISKUPIEC RESZELSKI,BISKUPIEC RESZELSKI (STACJA),BISKUPIEC KOLEJOWA woj.WARMIŃSKO-MAZURSKIE Stacja:BISKUPIEC RESZELSKI,53.8684193,20.9560118,WARMIŃSKO-MAZURSKIE,"53.8684193,20.9560118,BISKUPIEC RESZELSKI (STACJA)"
4897,BISKUPNICA (S),3186.0,BISKUPNICA,BISKUPNICA (STACJA),BISKUPNICA (STACJA) 77-300 woj.POMORSKIE,53.6551126,17.21162922,POMORSKIE,"53.6551126,17.21162922,BISKUPNICA (STACJA)"
4901,KULICE (S),8425.0,KULICE TCZEWSKIE,KULICE (STACJA),KULICE DWORCOWA woj.POMORSKIE Stacja:KULICE TCZEWSKIE,53.879464,18.69119,POMORSKIE,"53.879464,18.69119,KULICE (STACJA)"
4902,KULICE TCZEWSKIE (S),8425.0,KULICE TCZEWSKIE,KULICE TCZEWSKIE (STACJA),KULICE DWORCOWA woj.POMORSKIE Stacja:KULICE TCZEWSKIE,53.879464,18.69119,POMORSKIE,"53.879464,18.69119,KULICE TCZEWSKIE (STACJA)"
4904,KULIN KŁODZKI (S),57539.0,KULIN KŁODZKI,KULIN KŁODZKI (STACJA),"3243D, 57-343 Gołaczów, Polska",50.4273962,16.3162901,DOLNOŚLĄSKIE,"50.4273962,16.3162901,KULIN KŁODZKI (STACJA)"
4907,KUNDZIN (S),24836.0,KUNDZIN,KUNDZIN (STACJA),KUNDZIN (STACJA) 16-100 woj.PODLASKIE,53.44024729,23.5910368,PODLASKIE,"53.44024729,23.5910368,KUNDZIN (STACJA)"
4911,KUNOWICE (S),25924.0,KUNOWICE,KUNOWICE (STACJA),KUNOWICE (STACJA) 69-100 woj.LUBUSKIE,52.34212895,14.6395831,LUBUSKIE,"52.34212895,14.6395831,KUNOWICE (STACJA)"
4912,KUNÓW (S),49254.0,KUNÓW,KUNÓW (STACJA),KUNÓW ŁĄCZNA woj.ŚWIĘTOKRZYSKIE Stacja:KUNÓW,50.9545035,21.2792859,ŚWIĘTOKRZYSKIE,"50.9545035,21.2792859,KUNÓW (STACJA)"
4914,KUPIENINO (S),28142.0,KUPIENINO,KUPIENINO (STACJA),KUPIENINO (STACJA) 66-200 woj.LUBUSKIE,52.2572469,15.61196665,LUBUSKIE,"52.2572469,15.61196665,KUPIENINO (STACJA)"
